Measure Mode: wall_time
Thread ID: 70253057271520
Fiber ID: 70253062259540
Total: 2.880588
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.00      0.000     0.000     0.000     0.000        3   <Module::Gem>#platforms 
  0.00      0.000     0.000     0.000     0.000        8   Array#length 
  0.00      0.000     0.000     0.000     0.000        3   Module#const_defined? 
  0.00      0.000     0.000     0.000     0.000        4   Hash#key? 
  0.00      0.000     0.000     0.000     0.000        2   Pry::Config::Behavior#try_convert_to_hash 
  0.00      0.000     0.000     0.000     0.000        1   Module#const_get 
  0.00      0.000     0.000     0.000     0.000        1   Bignum#- 
  0.00      0.000     0.000     0.000     0.000        3   String#size 
  0.00      0.000     0.000     0.000     0.000        1   <Class::Gem::Specification>#_resort! 
  0.00      0.000     0.000     0.000     0.000        1   <Class::Pry::CLI>#reset 
  0.00      0.035     0.000     0.000     0.035        1   <Class::Gem::Specification>#each_normal 
  0.00      0.000     0.000     0.000     0.000        3   Comparable#< 
  0.00      0.000     0.000     0.000     0.000        1   Array#collect 
  0.00      0.049     0.000     0.000     0.049        1   <Class::Pry>#init 
  0.00      0.003     0.000     0.000     0.003        1   <Class::Gem::Specification>#each_default 
  0.00      0.000     0.000     0.000     0.000        3   Pry::Config::Behavior#[] 
  0.00      0.000     0.000     0.000     0.000        3   Gem::Specification#sort_obj 
  0.00      0.000     0.000     0.000     0.000        2   <Class::Pry::Config>#shortcuts 
  0.00      0.000     0.000     0.000     0.000        6   Regexp#hash 
  0.00      0.000     0.000     0.000     0.000        3   String#end_with? 
  0.00      0.000     0.000     0.000     0.000        6   BasicObject#! 
  0.00      0.000     0.000     0.000     0.000        3   String#downcase 
  0.00      0.000     0.000     0.000     0.000        1   <Object::Object>#[] 
  0.00      0.000     0.000     0.000     0.000        2   Pry::Config::Behavior::Builder#from_hash 
  0.00      0.000     0.000     0.000     0.000        1   Slop#parse 
  0.00      0.000     0.000     0.000     0.000        2   String#length 
  0.00      0.000     0.000     0.000     0.000        1   Exception#initialize 
  0.00      0.000     0.000     0.000     0.000        1   <Module::Gem>#refresh 
  0.00      0.000     0.000     0.000     0.000        1   Enumerator#with_index 
  0.00      0.000     0.000     0.000     0.000        1   Pry::Hooks#initialize 
  0.00      0.000     0.000     0.000     0.000        2   Pry::Config::Convenience#config_shortcut 
  0.00      0.049     0.000     0.000     0.049        1   <Class::Pry>#locate_plugins 
  0.00      0.000     0.000     0.000     0.000        1   Gem::Specification#test_files= 
  0.00      0.000     0.000     0.000     0.000        2   Module#const_set 
  0.00      0.000     0.000     0.000     0.000        1   <Module::CodeRay::PluginHost>#extended 
  0.00      0.000     0.000     0.000     0.000        1   <Class::Pry::CLI>#add_option_processor 
  0.00      0.000     0.000     0.000     0.000        1   CodeRay::PluginHost#register 
